Item,TIME_PERIOD,FREQ,TYPE,Item_VALUE
總指數(指數基期：民國110年=100),1993M07,M,原始值,70.71
總指數(指數基期：民國110年=100),1993M07,M,年增率(%),3.29
總指數(指數基期：民國110年=100),1993M08,M,原始值,70.42
總指數(指數基期：民國110年=100),1993M08,M,年增率(%),3.33
總指數(指數基期：民國110年=100),1993M09,M,原始值,70.87
總指數(指數基期：民國110年=100),1993M09,M,年增率(%),0.74
總指數(指數基期：民國110年=100),1993M10,M,原始值,71.18
總指數(指數基期：民國110年=100),1993M10,M,年增率(%),1.22
總指數(指數基期：民國110年=100),1993M11,M,原始值,71.34
總指數(指數基期：民國110年=100),1993M11,M,年增率(%),3.09
總指數(指數基期：民國110年=100),1993M12,M,原始值,71.93
總指數(指數基期：民國110年=100),1993M12,M,年增率(%),4.63
總指數(指數基期：民國110年=100),1994M01,M,原始值,71.61
總指數(指數基期：民國110年=100),1994M01,M,年增率(%),2.9
總指數(指數基期：民國110年=100),1994M02,M,原始值,72.54
總指數(指數基期：民國110年=100),1994M02,M,年增率(%),3.93
總指數(指數基期：民國110年=100),1994M03,M,原始值,72.34
總指數(指數基期：民國110年=100),1994M03,M,年增率(%),3.31
總指數(指數基期：民國110年=100),1994M04,M,原始值,73
總指數(指數基期：民國110年=100),1994M04,M,年增率(%),3.06
總指數(指數基期：民國110年=100),1994M05,M,原始值,73.68
總指數(指數基期：民國110年=100),1994M05,M,年增率(%),4.38
總指數(指數基期：民國110年=100),1994M06,M,原始值,73.49
總指數(指數基期：民國110年=100),1994M06,M,年增率(%),2.13
總指數(指數基期：民國110年=100),1994M07,M,原始值,73.65
總指數(指數基期：民國110年=100),1994M07,M,年增率(%),4.16
總指數(指數基期：民國110年=100),1994M08,M,原始值,75.38
總指數(指數基期：民國110年=100),1994M08,M,年增率(%),7.04
總指數(指數基期：民國110年=100),1994M09,M,原始值,75.61
總指數(指數基期：民國110年=100),1994M09,M,年增率(%),6.69
總指數(指數基期：民國110年=100),1994M10,M,原始值,74.79
總指數(指數基期：民國110年=100),1994M10,M,年增率(%),5.07
總指數(指數基期：民國110年=100),1994M11,M,原始值,74.11
總指數(指數基期：民國110年=100),1994M11,M,年增率(%),3.88
總指數(指數基期：民國110年=100),1994M12,M,原始值,73.84
總指數(指數基期：民國110年=100),1994M12,M,年增率(%),2.66
總指數(指數基期：民國110年=100),1995M01,M,原始值,75.36
總指數(指數基期：民國110年=100),1995M01,M,年增率(%),5.24
